x,y,yaw,curvature,velocity
-0.006360937427173912,0.0,3.141592653589793,0.0,4.0
-0.1335677561317935,0.0,3.141592653589793,0.0,4.0
-0.23966280335190218,0.0,3.141592653589793,0.0,4.0
-0.36254474297880435,0.0,3.141592653589793,0.0,4.0
-0.24386323507119553,0.0,0.0,0.0,4.0
-0.12827021407119552,0.0,0.0,0.0,4.0
-0.0005227246124998516,0.0,0.0,0.0,4.0
0.1405486558600545,0.0,0.0,0.0,4.0
0.30097949358994575,0.0,0.0,0.0,4.0
0.46797546280788055,0.0,0.0,0.0,4.0
0.6421186996625,0.0,0.0,0.0,4.0
0.8186588688649458,0.0,0.0,0.0,4.0
0.9963493865089675,0.0,0.0,0.0,4.0
1.1750477005171196,0.0,0.0,0.0,4.0
1.3534108063274453,0.0,0.0,0.0,4.0
1.5304231363236407,0.0,0.0,0.0,4.0
1.70700762366576,0.0,0.0,0.0,4.0
1.8791194521695642,0.0,0.0,0.0,4.0
2.0589872967970098,0.0,0.004112447791542999,0.04709347298625307,3.6556824359157623
2.233631155151288,0.0014579190888987191,0.01931175717763452,0.12668692239663348,3.191386206610818
2.4066358934352703,0.006714540017904167,0.050898627019469136,0.24037035620269417,2.7013507270305293
2.5769525627287764,0.018947613313547933,0.08606555599847161,0.1660454843616022,3.0027979274072845
2.749081681173587,0.036260314463084906,0.10024261470834439,0.0,4.0
2.925750060518967,0.054029573271903275,0.10024261470834443,0.0,4.0
3.0825536454165623,0.06980083631580553,0.10024261470834432,0.0,4.0
3.274024274669199,0.08905890150032879,0.10024261470834428,0.0,4.0
3.446756935446118,0.10643230677779766,0.10024261470834453,0.0,4.0
3.620151378981482,0.12387227398985616,0.10024261470834463,0.0,4.0
3.793721545737392,0.14132991539690165,0.10024261470834432,0.0,4.0
3.9657878520086327,0.158636298914655,0.10024261470834452,0.0,4.0
4.122652079530959,0.17441366137769326,0.10024261470834482,0.0,4.0
4.226323741536088,0.18484092968759336,0.10024261470834436,0.0,4.0
4.382444310824672,0.20054349520241901,0.10024261470834452,0.0,4.0
4.484372907978975,0.21079544651122561,0.09823046522655068,0.0230216098183871,3.823933777219025
4.658355476192597,0.22773388905091732,0.09084529683912201,0.07162072801738434,3.4988234365412567
4.831035677740648,0.2423750506693539,0.08074088276973139,0.04942336936477297,3.640180071539987
4.986156440084687,0.25425849207348394,0.07086736490342288,0.1068067604479391,3.2959421851589434
5.090644378652044,0.26080369622238464,0.049548495847436196,0.15117393366693135,3.071376012761253
5.262616961831271,0.2679679160467225,0.04112464952963127,0.005855183035659291,3.9537007172643994
5.436799843632211,0.2750472490481814,0.04062074734498102,0.0,4.0
5.607591258353143,0.2819887422999782,0.04062074734498129,0.0,4.0
5.781780938336407,0.2890683516006693,0.04062074734498134,0.0,4.0
5.954427490777974,0.2960852434080082,0.0406207473449815,0.0,4.0
6.122972609517397,0.3029354402183379,0.04062074734498155,0.0,4.0
6.301267912373613,0.31018191477694357,0.04062074734498128,0.0,4.0
6.472337815745806,0.31713472667199066,0.04062074734498107,0.0,4.0
6.645289926028347,0.3241640372984758,0.040620747344980966,0.0,4.0
6.812047929717639,0.3309416002057433,0.04062074734498139,0.0,4.0
